Species_Name,Date(MM/DD/YYYY),Julien_Day,Num_Flowers,Contributor_ID
Rose,01/01/1994,2,0,0
Rose,01/01/1995,10,4,0
Rose,01/01/1996,4,5,0
Rose,01/01/1997,30,6,0
Rose,01/01/1998,6,7,0
Rose,01/01/1999,7,8,0
Rose,01/01/2000,8,9,0
Rose,01/01/2001,20,10,0
Rose,01/01/2002,10,11,0
Rose,01/01/2003,11,0,0
Rose,01/01/2004,20,13,0
Rose,01/01/2005,13,14,0
Rose,01/01/2006,30,15,0
Rose,01/01/2007,15,16,0
Rose,01/01/2008,16,17,0
Rose,01/01/2009,37,18,0
Rose,01/01/2010,18,19,0
Rose,01/01/2011,5,20,0
Rose,01/01/2012,77,21,0
Rose,01/01/2013,21,22,0
